step,gt_x,gt_y,gt_theta,bel_x,bel_y,bel_theta,bel_prob,err_x,err_y
0,0.251,-0.069,-37.624,0.305,0.0,-50.0,1.0,-0.054,-0.069
1,0.572,-0.43,311.681,0.61,-0.61,-50.0,1.0,-0.038,0.179
2,0.578,-0.437,660.603,0.61,-0.305,-50.0,1.0,-0.032,-0.132
3,0.749,-0.73,1020.221,0.61,-0.914,-70.0,0.999425,0.139,0.184
4,0.946,-0.801,1450.407,0.61,-0.914,-10.0,1.0,0.337,0.114
5,1.694,-0.515,1858.734,1.524,-0.61,50.0,1.0,0.17,0.094
6,1.726,-0.197,2244.197,1.829,-0.305,90.0,1.0,-0.103,0.108
7,1.759,0.126,2608.304,1.829,0.0,90.0,1.0,-0.07,0.126
8,1.736,0.467,2990.654,1.829,0.61,110.0,1.0,-0.092,-0.143
9,1.721,0.637,3388.656,1.829,0.61,150.0,1.0,-0.108,0.027
10,1.359,0.825,3759.926,1.219,0.914,170.0,1.0,0.14,-0.089
11,0.866,0.779,4213.015,0.914,0.914,-90.0,1.0,-0.048,-0.136
12,0.734,0.612,4627.687,0.61,0.61,-50.0,1.0,0.125,0.002
13,0.658,0.582,4976.513,0.61,0.61,-50.0,1.0,0.048,-0.028
14,0.66,0.181,5316.005,0.61,0.305,-90.0,1.0,0.05,-0.123
15,-0.115,-0.345,5652.607,0.0,-0.305,-110.0,1.0,-0.115,-0.04
